Size,ArrayType,Algorithm,TimeMs,Comparisons
1600,Reverse_Sorted,TernaryQuickSort,0.0655,52848
1600,Reverse_Sorted,StringMergeSort,0.8194,29479
1600,Reverse_Sorted,MSDRadix,0.1461,0
1600,Reverse_Sorted,MSDRadix_Fallback,0.0488,25194
1600,Nearly_Sorted,MergeSort,0.8547,20351
1600,Nearly_Sorted,QuickSort,0.1542,82938
1600,Nearly_Sorted,TernaryQuickSort,0.0732,71650
1600,Nearly_Sorted,StringMergeSort,0.8592,48799
1600,Nearly_Sorted,MSDRadix,0.1423,0
1600,Nearly_Sorted,MSDRadix_Fallback,0.0316,15070
1600,Common_Prefix,MergeSort,1.0453,231164
1600,Common_Prefix,QuickSort,0.2063,281347
1600,Common_Prefix,TernaryQuickSort,0.0849,70251
1600,Common_Prefix,StringMergeSort,1.0421,260834
1600,Common_Prefix,MSDRadix,0.2213,0
1600,Common_Prefix,MSDRadix_Fallback,0.1344,8722
1700,Random,MergeSort,0.9792,22257
1700,Random,QuickSort,0.1301,26361
1700,Random,TernaryQuickSort,0.0760,29460
1700,Random,StringMergeSort,0.9901,54519
1700,Random,MSDRadix,0.1296,0
1700,Random,MSDRadix_Fallback,0.0397,9648
1700,Reverse_Sorted,MergeSort,0.9013,13840
1700,Reverse_Sorted,QuickSort,1.7797,1478031
1700,Reverse_Sorted,TernaryQuickSort,0.0696,58179
1700,Reverse_Sorted,StringMergeSort,0.8963,31512
1700,Reverse_Sorted,MSDRadix,0.1603,0
1700,Reverse_Sorted,MSDRadix_Fallback,0.0523,26984
1700,Nearly_Sorted,MergeSort,0.8889,21951
1700,Nearly_Sorted,QuickSort,0.1146,58053
1700,Nearly_Sorted,TernaryQuickSort,0.0785,74409
1700,Nearly_Sorted,StringMergeSort,0.9200,52773
1700,Nearly_Sorted,MSDRadix,0.1515,0
1700,Nearly_Sorted,MSDRadix_Fallback,0.0374,16017
1700,Common_Prefix,MergeSort,1.1322,248022
1700,Common_Prefix,QuickSort,0.2297,317005
