sort_type,size,type,median_us
quicksort,13700,random,2458
quicksort,13700,reversed,2265
quicksort,13700,almost,3603
hybridsort,13700,random,2425
hybridsort,13700,reversed,1481
hybridsort,13700,almost,1351
quicksort,13800,random,2541
quicksort,13800,reversed,2559
quicksort,13800,almost,2338
hybridsort,13800,random,2054
hybridsort,13800,reversed,1359
hybridsort,13800,almost,1412
quicksort,13900,random,2683
quicksort,13900,reversed,2654
quicksort,13900,almost,2424
hybridsort,13900,random,2019
hybridsort,13900,reversed,1387
hybridsort,13900,almost,1601
quicksort,14000,random,2688
quicksort,14000,reversed,2437
quicksort,14000,almost,4362
hybridsort,14000,random,3341
hybridsort,14000,reversed,3289
hybridsort,14000,almost,2731
quicksort,14100,random,5797
quicksort,14100,reversed,5016
quicksort,14100,almost,5110
hybridsort,14100,random,4344
hybridsort,14100,reversed,2739
hybridsort,14100,almost,2785
quicksort,14200,random,4927
quicksort,14200,reversed,2615
quicksort,14200,almost,2464
hybridsort,14200,random,2081
hybridsort,14200,reversed,1598
hybridsort,14200,almost,1375
quicksort,14300,random,2624
quicksort,14300,reversed,2477
quicksort,14300,almost,2459
hybridsort,14300,random,2103
hybridsort,14300,reversed,1320
hybridsort,14300,almost,1413
quicksort,14400,random,2605
quicksort,14400,reversed,4670
quicksort,14400,almost,5199
hybridsort,14400,random,4411
hybridsort,14400,reversed,2912
hybridsort,14400,almost,3107
quicksort,14500,random,5791
quicksort,14500,reversed,3100
quicksort,14500,almost,2461
hybridsort,14500,random,2128
hybridsort,14500,reversed,1386
hybridsort,14500,almost,1420
quicksort,14600,random,3572
quicksort,14600,reversed,2515
quicksort,14600,almost,2473
hybridsort,14600,random,2579
hybridsort,14600,reversed,1577
hybridsort,14600,almost,1545
quicksort,14700,random,2748
quicksort,14700,reversed,2439
quicksort,14700,almost,2625
hybridsort,14700,random,2222
hybridsort,14700,reversed,1391
hybridsort,14700,almost,1823
quicksort,14800,random,3014
quicksort,14800,reversed,2566
quicksort,14800,almost,2498
hybridsort,14800,random,2566
hybridsort,14800,reversed,1578
hybridsort,14800,almost,1497
quicksort,14900,random,3470
quicksort,14900,reversed,2766
quicksort,14900,almost,2465
hybridsort,14900,random,4324
hybridsort,14900,reversed,1963
hybridsort,14900,almost,1591
quicksort,15000,random,2831
quicksort,15000,reversed,3142
quicksort,15000,almost,2616
hybridsort,15000,random,2323
hybridsort,15000,reversed,1425
hybridsort,15000,almost,1494
quicksort,15100,random,5614
quicksort,15100,reversed,5097
quicksort,15100,almost,5145
hybridsort,15100,random,4692
hybridsort,15100,reversed,1435
hybridsort,15100,almost,1510
quicksort,15200,random,2810
quicksort,15200,reversed,2931
quicksort,15200,almost,2623
hybridsort,15200,random,2204
hybridsort,15200,reversed,1975
hybridsort,15200,almost,1545
quicksort,15300,random,2891
quicksort,15300,reversed,3118
quicksort,15300,almost,2558
hybridsort,15300,random,2235
hybridsort,15300,reversed,1625
hybridsort,15300,almost,1589
quicksort,15400,random,3140
quicksort,15400,reversed,2786
quicksort,15400,almost,2786
hybridsort,15400,random,2450
hybridsort,15400,reversed,1508
hybridsort,15400,almost,1570
quicksort,15500,random,3440
quicksort,15500,reversed,2770
quicksort,15500,almost,2857
hybridsort,15500,random,2409
hybridsort,15500,reversed,2299
hybridsort,15500,almost,3373
quicksort,15600,random,3630
quicksort,15600,reversed,3158
quicksort,15600,almost,2896
hybridsort,15600,random,2372
hybridsort,15600,reversed,1638
hybridsort,15600,almost,1641
quicksort,15700,random,3364
quicksort,15700,reversed,2699
quicksort,15700,almost,2650
hybridsort,15700,random,2382
hybridsort,15700,reversed,1930
hybridsort,15700,almost,1713
quicksort,15800,random,7035
quicksort,15800,reversed,5581
quicksort,15800,almost,4659
hybridsort,15800,random,4340
hybridsort,15800,reversed,2760
hybridsort,15800,almost,3350
quicksort,15900,random,6076
quicksort,15900,reversed,2818
quicksort,15900,almost,3359
hybridsort,15900,random,2436
hybridsort,15900,reversed,1543
hybridsort,15900,almost,1925
quicksort,16000,random,3140
quicksort,16000,reversed,2945
quicksort,16000,almost,2890
hybridsort,16000,random,2498
hybridsort,16000,reversed,1576
hybridsort,16000,almost,1772
quicksort,16100,random,3081
quicksort,16100,reversed,2840
quicksort,16100,almost,2838
hybridsort,16100,random,2426
hybridsort,16100,reversed,1725
hybridsort,16100,almost,1703
quicksort,16200,random,3329
quicksort,16200,reversed,2803
quicksort,16200,almost,3173
hybridsort,16200,random,2464
hybridsort,16200,reversed,1772
hybridsort,16200,almost,1789
quicksort,16300,random,3599
quicksort,16300,reversed,4652
quicksort,16300,almost,3811
hybridsort,16300,random,2720
hybridsort,16300,reversed,1628
hybridsort,16300,almost,1654
quicksort,16400,random,3073
quicksort,16400,reversed,3216
quicksort,16400,almost,3279
hybridsort,16400,random,2811
hybridsort,16400,reversed,1835
hybridsort,16400,almost,1685
quicksort,16500,random,3532
quicksort,16500,reversed,2839
quicksort,16500,almost,2809
hybridsort,16500,random,2420
hybridsort,16500,reversed,1619
hybridsort,16500,almost,1963
quicksort,16600,random,3247
quicksort,16600,reversed,2960
quicksort,16600,almost,2952
hybridsort,16600,random,2427
hybridsort,16600,reversed,1735
hybridsort,16600,almost,1656
quicksort,16700,random,3206
quicksort,16700,reversed,4179
quicksort,16700,almost,2914
hybridsort,16700,random,2493
hybridsort,16700,reversed,2169
hybridsort,16700,almost,1662
quicksort,16800,random,3595
quicksort,16800,reversed,2781
quicksort,16800,almost,2938
hybridsort,16800,random,2507
hybridsort,16800,reversed,2088
hybridsort,16800,almost,1700
quicksort,16900,random,3322
quicksort,16900,reversed,3903
